Province,Restaurant, Delivery Fee,Delivery Time,Rating
Bratislava,Best kebab pizza Petržalka,from 6.00,55 - 65 min.,4.4
Bratislava,Loove restaurant by Vegana Plynárenská,from 5.00,35 - 45 min.,4.5
Bratislava,Pizzeria Viktória,from 5.90,25 - 35 min.,4.8
Bratislava,Sultan Kebab a Pizza,from 5.00,40 - 50 min.,4.4
Bratislava,Hotdogáreň,from 5.00,40 - 50 min.,5
Bratislava,White rabbit noodle bar&sushi,from 5.00,40 - 50 min.,4.6
Bratislava,Reštaurácia Ako Doma,from 5.00,40 - 50 min.,4.7
Bratislava,Pho Viet Cubicon,from 5.00,45 - 55 min.,4.9
Bratislava,Phočkáreň Eurovea,from 5.00,40 - 50 min.,4.8
Bratislava,Phočkáreň Bory Mall,from 5.00,40 - 50 min.,4.8
Bratislava,FOODSTOCK,from 5.00,35 - 45 min.,4.9
Bratislava,Čínska reštaurácia Panda,from 5.00,40 - 50 min.,4.8
Bratislava,Masala Darbar,from 5.00,40 - 50 min.,4.7
Bratislava,La Garnacha,from 5.00,35 - 45 min.,4.2
Bratislava,Poké Bistro Eurovea,from 5.00,35 - 45 min.,4.6
Bratislava,KFC OC Relaxx,from 5.00,25 - 35 min.,4.5
Bratislava,Knedličkovo,from 5.00,40 - 50 min.,4.7
Bratislava,Pizza Frado,from 5.00,40 - 50 min.,4.9
Bratislava,Vegan pub,from 5.00,40 - 50 min.,4.6
Bratislava,Barskde&Chilantro,from 5.00,35 - 45 min.,4.4
Bratislava,Italiana pizza Dúbravka,from 5.00,40 - 50 min.,4.9
Bratislava,KFC Bory Mall,from 5.00,30 - 40 min.,4.3
Bratislava,BEMBA rawfood & plant-based,from 5.00,40 - 50 min.,4.9
Bratislava,Izmir 35 pizza&kebab,from 5.00,40 - 50 min.,4.9
Bratislava,Burger King Laurinská,from 8.00,35 - 45 min.,4.5
Bratislava,POsushiME,from 5.00,40 - 50 min.,4.5
Bratislava,Soupculture,from 5.00,40 - 50 min.,5
Bratislava,U MaMi,from 5.00,55 - 65 min.,4.9
Bratislava,Pizza Bene,from 6.00,55 - 65 min.,4.8
Bratislava,Papito Pizza,from 5.80,25 - 35 min.,4.8
Bratislava,Pizza Carlito,from 15.00,50 - 60 min.,4.8
Bratislava,Shanghai Asian Fast Food,from 5.00,40 - 50 min.,4.9
Bratislava,Pho Viet vietnamské bistro,from 5.00,40 - 50 min.,4.5
Bratislava,Burger King Bory Mall,from 8.00,40 - 50 min.,4.7
Bratislava,Amici Pizzeria,from 6.00,55 - 65 min.,4.8
Bratislava,Best pizza and Kebab,from 5.00,40 - 50 min.,4.6
Bratislava,Yakuza sushi,from 5.00,55 - 65 min.,4.8
Bratislava,Diner Lamač,from 5.00,40 - 50 min.,5
Bratislava,Sapa food,from 5.00,40 - 50 min.,4.3
Bratislava,Poké Bistro Bory Mall,from 5.00,40 - 50 min.,4.6
Bratislava,Sunshine Eurovea,from 5.00,40 - 50 min.,4.3
Bratislava,KFC Aupark,from 5.00,25 - 35 min.,4.2
Bratislava,Čínska reštaurácia Kuchajda,from 5.00,40 - 50 min.,4.5
Bratislava,Hummus and Couscous bar Bory Mall,from 5.00,40 - 50 min.,4.6
Bratislava,Vrakunská Brána,from 4.70,70 - 80 min.,4.9
Bratislava,LaMamma,from 5.00,40 - 50 min.,4.7
Bratislava,Kráľovský dvor restaurant,from 4.90,55 - 65 min.,4.8
Bratislava,Reštaurácia SK - HU Étterem,from 4.28,70 - 80 min.,4.8
Bratislava,Partička,from 8.00,55 - 65 min.,4.8
Bratislava,Subway Bory Mall,from 5.00,40 - 50 min.,4.6
Bratislava,Gregory Pizza & Restaurant,from 4.50,100 - 110 min.,4.9
Bratislava,Noodles by YAN,from 5.00,40 - 50 min.,4.7
Bratislava,Bistro Gourmet,from 5.00,40 - 50 min.,4.7
Bratislava,Punjabi Dhaba Hlboká,from 5.00,45 - 55 min.,4.5
Bratislava,Punjabi Dhaba Prievozská,from 5.00,40 - 50 min.,4.6
Bratislava,Daniels pub & restaurant,from 5.00,55 - 65 min.,4.9
Bratislava,Čínska reštaurácia Jasmin,from 5.00,40 - 50 min.,4.6
Bratislava,Fragolino ristorante,from 5.00,55 - 65 min.,4.8
Bratislava,Saigon Bistro Rača,from 6.99,55 - 65 min.,4.8
Bratislava,Hanoi Garden Na Pántoch,from 6.99,55 - 65 min.,4.8
Bratislava,Poké Bistro Avion,from 5.00,40 - 50 min.,4.6
Bratislava,Creative Kitchen,from 5.00,55 - 65 min.,4.9
Bratislava,Phočkáreň OC Avion,from 5.00,40 - 50 min.,4.6
Bratislava,Real food - pizza# kebab India,from 5.00,40 - 50 min.,4.7
Bratislava,Tirolská izba,from 5.00,40 - 50 min.,4.6
Bratislava,Pizzeria Fantozzi,from 8.00,55 - 65 min.,4.8
Bratislava,TUK TUK,from 5.00,40 - 50 min.,4.8
Bratislava,Salašinka,from 6.00,70 - 80 min.,4.8
Bratislava,BeAbout,from 5.00,70 - 80 min.,4.8
Bratislava,SUSHI YA,from 15.00,55 - 65 min.,4.9
Bratislava,Adam's Rock,from 20.00,70 - 80 min.,4.9
Bratislava,Guru Pizza,from 5.00,55 - 65 min.,4.9
Bratislava,Sunshine Aupark,from 5.00,40 - 50 min.,4.7
Bratislava,PIZZA CITY,from 4.49,70 - 80 min.,4.9
Bratislava,Dobrý deň,from 4.20,85 - 95 min.,4.7
Bratislava,Pizza Zagarolo,from 6.00,70 - 80 min.,4.7
Bratislava,Pizza Grande,from 0.00,55 - 65 min.,4.7
Bratislava,DeliveriX,from 5.00,85 - 95 min.,4.8
Bratislava,Fresh BBQ Bory Mall,from 5.00,40 - 50 min.,4.5
Bratislava,Pirko Pizza Pasta,from 5.00,55 - 65 min.,4.9
Bratislava,Vaše Retro (bývala Pizza Retro),from 6.50,70 - 80 min.,4.8
Bratislava,Reštaurácia Breweria,from 6.00,40 - 50 min.,4.4
Bratislava,Morris reštaurácia a pizza,from 10.00,55 - 65 min.,4.7
Bratislava,Sunshine Avion,from 5.00,40 - 50 min.,4.3
Bratislava,Red Cafe,from 5.00,40 - 50 min.,4.5
Bratislava,Pizzeria Ciao,from 5.00,40 - 50 min.,4.5
Bratislava,Nomad Avion,from 5.00,40 - 50 min.,4.8
Bratislava,Italiana pizza,from 4.00,70 - 80 min.,4.8
Bratislava,Gordon Kebab,from 5.00,40 - 50 min.,4.8
Bratislava,Reštaurácia SK - HU Étterem Vajnory,from 4.99,70 - 80 min.,4.7
Bratislava,Chicken Supreme,from 5.00,55 - 65 min.,4.8
Bratislava,Royal Kashmir restaurant,from 5.00,45 - 55 min.,4.7
Bratislava,FATCAT sushi delivery,from 9.00,55 - 65 min.,4.9
Bratislava,Duna pub&restaurant,from 5.00,115 - 125 min.,4.9
Bratislava,Best kebab pizza Dúbravka,from 3.00,55 - 65 min.,4.8
Bratislava,Elephant Diner,from 15.00,70 - 80 min.,4.7
Bratislava,Maestro Erik Italian pizza style,from 12.00,70 - 80 min.,4.9
Bratislava,Pizzeria Sicília,from 5.00,85 - 95 min.,4.7
Bratislava,Pizzeria Pinbal,from 6.80,40 - 50 min.,4.7
Bratislava,Pizzeria Metropol,from 10.00,55 - 65 min.,4.9
Bratislava,Regal Burger Palackého,from 5.00,35 - 45 min.,4.7
Bratislava,Reštaurácia Avalon,from 5.00,40 - 50 min.,4.6
Bratislava,Kazumi,from 10.00,55 - 65 min.,4.7
Bratislava,Pán Burger (bývalý Strýko burger),from 5.00,40 - 50 min.,4.6
Bratislava,Hanoi Garden Prievozská,from 6.50,115 - 125 min.,4.8
Bratislava,Saigon Bistro Podunajská,from 6.50,55 - 65 min.,4.7
Bratislava,Subway Mlynské nivy,from 5.00,35 - 45 min.,4.5
Bratislava,Reštaurácia Milica,from 10.20,115 - 125 min.,4.9
Bratislava,Pilgrim's Pizza,from 6.00,70 - 80 min.,4.7
Bratislava,M. Phong,from 5.00,40 - 50 min.,4.4
Bratislava,Pizza Point,from 9.50,70 - 80 min.,4.7
Bratislava,Red Hot Kebab,from 25.00,55 - 65 min.,4.8
Bratislava,Kurkuma Indian restaurant,from 5.00,40 - 50 min.,4.7
Bratislava,Pizzeria Primavera,from 6.00,85 - 95 min.,4.7
Bratislava,Pizza Boss,from 5.00,55 - 65 min.,4.7
Bratislava,Andy's pizza,from 5.00,70 - 80 min.,4.7
Bratislava,Kinka Ramen,from 5.00,40 - 50 min.,4.5
Bratislava,Burger King Aupark,from 8.00,40 - 50 min.,4.3
Bratislava,Kútik chuti,from 5.00,85 - 95 min.,4.7
Bratislava,Pizza Pirko,from 5.50,85 - 95 min.,4.9
Bratislava,La Vita Ristorante,from 5.00,40 - 50 min.,4.6
Bratislava,Way2ocean,from 10.00,40 - 50 min.,4.9
Bratislava,LeTorri,from 5.00,40 - 50 min.,4.5
Bratislava,Teriyaki&Fresh Freshmarket,from 5.00,40 - 50 min.,4.6
Bratislava,Pizza Presto,from 5.20,70 - 80 min.,4.9
Bratislava,Regal Burger Eurovea,from 5.00,40 - 50 min.,4.7
Bratislava,Reštaurácia ALFA,from 5.00,40 - 50 min.,4.5
Bratislava,Pizzeria & Restaurant Bella Napoli,from 5.00,55 - 65 min.,4.6
Bratislava,Pizzeria Lombardi,from 5.00,55 - 65 min.,4.6
Bratislava,Grillko drive,from 5.00,115 - 125 min.,5
Bratislava,Koliba Bory Mall,from 5.00,40 - 50 min.,4.8
Bratislava,DOBRÉ JEDLO NA KOLIBE - Čertisko&Kača,from 5.00,70 - 80 min.,4.9
Bratislava,SushiMa,from 20.00,55 - 65 min.,5
Bratislava,Pizza Apetito,from 6.00,70 - 80 min.,4.8
Bratislava,Hanoi bistro Saratovská,from 6.50,85 - 95 min.,4.9
Bratislava,Satyam indická kuchyňa (Bory Mall),from 5.00,40 - 50 min.,4.7
Bratislava,ALOHA Poké bar,from 9.90,70 - 80 min.,4.5
Bratislava,Muchen Tuchen Bistro,from 6.00,70 - 80 min.,4.7
Bratislava,Pizzéria La Mia,from 4.00,55 - 65 min.,4.6
Bratislava,Burger King Avion,from 8.00,40 - 50 min.,4
Bratislava,Saigon Bistro Špitálska,from 5.00,40 - 50 min.,4.5
Bratislava,Reštaurácia Im Lette,from 4.50,85 - 95 min.,4.6
Bratislava,Pizza Hut Bory Mall,from 5.00,40 - 50 min.,4.5
Bratislava,Pho Yo,from 5.00,40 - 50 min.,4.7
Bratislava,Quan Vuong Food,from 6.00,70 - 80 min.,4.8
Bratislava,Sole Mio Pizza,from 5.00,40 - 50 min.,4.7
Bratislava,Pizza Chip Riazanská,from 5.00,40 - 50 min.,4.4
Bratislava,Rozvoz jedál-GAHA,from 5.00,70 - 80 min.,4.9
Bratislava,Subway Cubicon,from 5.00,40 - 50 min.,4.6
Bratislava,Regal Burger Fresh market,from 5.00,40 - 50 min.,4.7
Bratislava,Smažáčik,from 5.00,40 - 50 min.,4.6
Bratislava,Sapa Quan,from 6.00,70 - 80 min.,4.7
Bratislava,Pizzeria Laura’s,from 4.90,55 - 65 min.,4.7
Bratislava,Johny Italian Bistro - Pizza&Pasta,from 10.00,100 - 110 min.,4.9
Bratislava,BAD BOYZ Kitchen,from 5.00,40 - 50 min.,4.5
Bratislava,A Pho vietnamské bistro,from 5.00,40 - 50 min.,4.3
Bratislava,Jarovský dvor,from 5.99,85 - 95 min.,4.8
Bratislava,Pizzeria Búdková,from 6.00,55 - 65 min.,4.7
Bratislava,Čínska reštaurácia Shanghai,from 10.00,40 - 50 min.,4.6
Bratislava,Bakchus Vila,from 5.00,55 - 65 min.,4.8
Bratislava,Slnko - Čínska reštaurácia,from 5.00,40 - 50 min.,4.3
Bratislava,Sushi Point,from 9.50,55 - 65 min.,4.8
Bratislava,Com Bui Aupark,from 5.00,40 - 50 min.,4.4
Bratislava,Plzeňská Astra,from 5.00,55 - 65 min.,4.5
Bratislava,Bratislavské šišky by Friends,from 5.00,40 - 50 min.,4.6
Bratislava,Bok - Simply Asian,from 5.00,40 - 50 min.,4.3
Bratislava,Regal Burger Avion,from 5.00,40 - 50 min.,4.4
Bratislava,Geisha Sushi Bar,from 10.00,85 - 95 min.,4.7
Bratislava,Pizza Colorata,from 4.50,70 - 80 min.,4.8
Bratislava,Dosa&Samosa,from 5.00,40 - 50 min.,4.5
Bratislava,Burgr jako kráva Bratislava,from 5.00,85 - 95 min.,4.7
Bratislava,Bistro Suvlaki,from 8.00,85 - 95 min.,4.7
Bratislava,La Familia,from 5.00,100 - 110 min.,4.8
Bratislava,Hanoi Garden Nobelova,from 7.50,85 - 95 min.,4.8
Bratislava,LOTUS vietnamské bistro,from 12.00,115 - 125 min.,4.6
Bratislava,Los Amigos Pizzeria,from 5.00,115 - 125 min.,4.7
Bratislava,Black Rose Pizza - Restaurant,from 6.50,40 - 50 min.,4.5
Bratislava,Divoká Kačka,from 5.00,40 - 50 min.,4.7
Bratislava,MC. KEBAB,from 5.00,35 - 45 min.,5
Bratislava,Reštaurácia Dominika,from 5.00,40 - 50 min.,4.6
Bratislava,Sushi Time,from 6.00,53 - 63 min.,4.4
Bratislava,Tasty&Fresh,from 5.00,35 - 45 min.,3.5
Bratislava,Konn Coffee&Food bar Černyševského,from 8.00,85 - 95 min.,4.7
Bratislava,La VELA seafood restaurant & pizzeria,from 5.00,40 - 50 min.,3.8
Bratislava,Pizza Mizza Twin City,from 5.00,85 - 95 min.,4.4
Bratislava,Naj Menu,from 6.00,115 - 125 min.,4.6
Bratislava,Pizza Mizza - Nepizzuj Podunajské Biskupice,from 5.00,70 - 80 min.,4.7
Bratislava,Pizzeria Lucky,from 5.00,115 - 125 min.,4.7
Bratislava,Petržalská Furmanka,from 4.00,70 - 80 min.,4.6
Bratislava,Roso Sushi,from 5.00,55 - 65 min.,5
Bratislava,U Kmotra,from 6.00,40 - 50 min.,4.7
Bratislava,Reštaurácia Pruk,from 5.00,115 - 125 min.,4.7
Bratislava,Krídelkovo,from 5.50,100 - 110 min.,4.8
Bratislava,Nová Hviezda,from 5.00,55 - 65 min.,4.6
Bratislava,Familia Beer&Restaurant,from 15.00,100 - 110 min.,4.5
Bratislava,U Samira Pizza & Kebab,from 3.00,55 - 65 min.,4.5
Bratislava,Haki Kebap & Pizza,from 10.00,70 - 80 min.,4.6
Bratislava,Stará mama,from 5.00,100 - 110 min.,4.4
Bratislava,Chillout restaurant,from 4.50,70 - 80 min.,4.9
Bratislava,Koliba Palace,from 4.90,85 - 95 min.,4.6
Bratislava,Jedna báseň,from 5.00,40 - 50 min.,4.6
Bratislava,Nivara - indická reštaurácia,from 5.00,40 - 50 min.,4
Bratislava,Csarda Stupava,from 20.00,55 - 65 min.,4.9
Bratislava,Subway Eurovea,from 5.00,40 - 50 min.,4.4
Bratislava,Chick n'Cheese,from 5.00,40 - 50 min.,4.4
Bratislava,Regal Burger Bory Mall,from 5.00,40 - 50 min.,4.5
Bratislava,Reštaurácia Čajka,from 5.50,40 - 50 min.,3.8
Bratislava,Hostinec na Šanci,from 5.00,70 - 80 min.,4.8
Bratislava,Pizzeria Rotunda,from 6.40,55 - 65 min.,4.5
Bratislava,Quan Food,from 6.00,55 - 65 min.,4.5
Bratislava,Lozano Pizzeria,from 5.00,40 - 50 min.,4.5
Bratislava,Boss Burgers,from 5.00,70 - 80 min.,4.4
Bratislava,Pizzeria Corleone,from 5.00,100 - 110 min.,4.5
Bratislava,Side Kebab,from 6.00,55 - 65 min.,4.5
Bratislava,Jump Street,from 5.00,35 - 45 min.,4.5
Bratislava,LA Garnacha Bory Mall,from 5.00,40 - 50 min.,4.6
Bratislava,Princ burger,from 7.00,70 - 80 min.,4.6
Bratislava,Cubicon Furmanka,from 4.00,70 - 80 min.,4.5
Bratislava,Kramárska Tankovňa,from 5.20,100 - 110 min.,4.6
Bratislava,Bella Napoli Košická,from 5.00,40 - 50 min.,4.5
Bratislava,Chilli pub & Pizza,from 5.00,40 - 50 min.,4.6
Bratislava,U zlatého orla,from 12.00,85 - 95 min.,4.9
Bratislava,Libero drevenica,from 5.00,40 - 50 min.,4.6
Bratislava,Pizza Hut Avion,from 5.00,40 - 50 min.,3.9
Bratislava,Grilko Stupava,from 10.00,40 - 50 min.,4.7
Bratislava,Hanoi Garden Stará Vajnorská,from 6.50,85 - 95 min.,4.7
Bratislava,Primo Amore,from 5.00,40 - 50 min.,4.2
Bratislava,Chutney indická reštaurácia,from 5.00,40 - 50 min.,4.2
Bratislava,Bezlepkový svet,from 7.60,55 - 65 min.,4.5
Bratislava,ORIM Restaurant,from 7.00,70 - 80 min.,4.7
Bratislava,Express Pizza Kebab Vajnory,from 6.00,55 - 65 min.,4.5
Bratislava,Kráľovská piváreň,from 4.50,100 - 110 min.,4.3
Bratislava,Dastef Streetfood,from 5.00,70 - 80 min.,4.8
Bratislava,Made With Laf #2 - Vegánske Bistro,from 5.00,40 - 50 min.,4.9
Bratislava,Red Chilly Indian Restaurant,from 5.00,40 - 50 min.,4.7
Bratislava,Pizza Erik,from 18.00,92 - 102 min.,4.3
Bratislava,Pepe Nero Pizzeria,from 10.80,40 - 50 min.,4.4
Bratislava,FOODSTOCK Trnavské mýto,from 5.00,40 - 50 min.,4.7
Bratislava,TOTO pizza & grill,from 5.00,40 - 50 min.,3.5
Bratislava,Pizzeria California,from 6.00,85 - 95 min.,4.6
Bratislava,Sole Grill,from 5.00,40 - 50 min.,3.9
Bratislava,Ram's,from 5.00,40 - 50 min.,4.8
Bratislava,Bun Bo Nam Bo,from 5.00,40 - 50 min.,4.6
Bratislava,Haki Exclusive kebab&pizza,from 15.00,70 - 80 min.,4.6
Bratislava,Lombardiho burger,from 6.00,70 - 80 min.,4.6
Bratislava,Koliba Eurovea,from 4.90,85 - 95 min.,4.4
Bratislava,Giovanni burger a pizza Pirko Kramáre,from 5.00,55 - 65 min.,4.6
Bratislava,Hai Phong Quán Stará Vajnorská BA,from 7.50,85 - 95 min.,4.6
Bratislava,Pizza Burger,from 5.00,55 - 65 min.,4.6
Bratislava,Pizza Hut Aupark,from 5.00,40 - 50 min.,4.4
Bratislava,Reštaurácia Saratov,from 5.00,115 - 125 min.,4.6
Bratislava,Restaurant Sushi Bar Tokyo,from 5.00,40 - 50 min.,4.4
Bratislava,Bearded Brothers Petržalka,from 5.00,40 - 50 min.,4.3
Bratislava,Pizza Long Pizza&Grill,from 5.00,40 - 50 min.,4.4
Bratislava,Com Bui Miletičova,from 5.00,40 - 50 min.,4.5
Bratislava,Ja Somáru,from 5.00,115 - 125 min.,4.7
Bratislava,Kolkovna Eurovea,from 5.00,40 - 50 min.,4.4
Bratislava,Bubble Waffle Bratislava - The Street Life,from 5.00,70 - 80 min.,4.9
Bratislava,Pizza Pruk,from 5.00,115 - 125 min.,4.4
Bratislava,Pizza Chip Mierová,from 3.90,40 - 50 min.,4.7
Bratislava,PIZZA - RESTAURANT Rendez PUB,from 5.00,115 - 125 min.,4.7
Bratislava,Hanoi Garden JURKI,from 8.00,70 - 80 min.,4.7
Bratislava,Arya kebab & pizza,from 5.00,35 - 45 min.,4.3
Bratislava,Frango,from 5.00,40 - 50 min.,3.7
Bratislava,Shana burgers,from 5.00,40 - 50 min.,3.3
Bratislava,Hanoi Garden Petržalka,from 6.50,115 - 125 min.,4.5
Bratislava,Express Pizza kebab,from 6.00,85 - 95 min.,4.3
Bratislava,Dúbravská Piváreň 2,from 5.00,100 - 110 min.,4.4
Bratislava,Konn Coffee & Food Bar Slnečnice,from 8.00,85 - 95 min.,4.7
Bratislava,Punjabi Dhaba Šancová,from 5.00,45 - 55 min.,4.7
Bratislava,Trojka bistro,from 5.00,40 - 50 min.,4.9
Bratislava,Com Viet,from 5.00,40 - 50 min.,4.2
Bratislava,Grill House Pinbal,from 8.00,55 - 65 min.,4.5
Bratislava,Giuseppe pizza,from 5.50,70 - 80 min.,4.5
Bratislava,Ben & Jerry´s a Magnum Nové Mesto,from 5.00,40 - 50 min.,5
Bratislava,Pizza Italiano Bistro,from 5.00,40 - 50 min.,4.4
Bratislava,Prievozská piváreň,from 5.00,40 - 50 min.,4.6
Bratislava,Kym kym chutné,from 5.00,40 - 50 min.,4.3
Bratislava,Reštaurácia 44,from 5.00,40 - 50 min.,3.7
Bratislava,Subway Avion,from 5.00,40 - 50 min.,3.9
Bratislava,BBQ GRIL,from 5.00,40 - 50 min.,5
Bratislava,Bistro Lokál UNAS,from 5.00,40 - 50 min.,4.2
Bratislava,Furmanka Čunovo,from 4.00,100 - 110 min.,4.5
Bratislava,Pizza Hamm,from 5.00,85 - 95 min.,4.7
Bratislava,Lunapark,from 4.50,85 - 95 min.,4.2
Bratislava,Kaisushi&Fushion bar,from 5.00,40 - 50 min.,4.8
Bratislava,Restaurant & Pizza VILLA IVICA,from 8.00,70 - 80 min.,4.6
Bratislava,Pizzeria San Vincenzo,from 5.00,40 - 50 min.,4.1
Bratislava,Kebab Metro,from 0.00,55 - 65 min.,4.5
Bratislava,U Bosorky,from 6.00,55 - 65 min.,4.7
Bratislava,Rice and Roll,from 5.00,40 - 50 min.,4.2
Bratislava,PIZZERIA KAMENICA PUB,from 5.00,85 - 95 min.,4.1
Bratislava,Kebab pizza bistro,from 5.00,40 - 50 min.,4.3
Bratislava,MOST - z mosta do prosta,from 4.50,85 - 95 min.,4.8
Bratislava,Rooftop by Regal,from 5.00,40 - 50 min.,4.4
Bratislava,Vietnam Food,from 6.00,70 - 80 min.,4.5
Bratislava,Saigon Bistro,from 5.00,40 - 50 min.,4.5
Bratislava,Pizzeria Saranda,from 5.00,40 - 50 min.,4.7
Bratislava,Kebab Nivy and Grill,from 8.00,115 - 125 min.,4.3
Bratislava,Pizza Mizza - Nepizzuj Petržalka,from 5.00,70 - 80 min.,4.1
Bratislava,Kvetinárstvo - rozvoz kvetov,from 20.00,115 - 125 min.,5
Bratislava,Česká pivnica,from 5.00,40 - 50 min.,4.4
Bratislava,Kerala South Indian Cuisine,from 5.00,40 - 50 min.,4.6
Bratislava,Petržalský dvor,from 4.00,100 - 110 min.,4.1
Bratislava,Kebab Nivy,from 8.00,115 - 125 min.,4.1
Bratislava,Side Kebab Košická,from 5.00,40 - 50 min.,3.7
Bratislava,Mayday pizza,from 5.99,70 - 80 min.,4.7
Bratislava,Pivárnička,from 5.00,40 - 50 min.,4.6
Bratislava,Dunajský pivovar,from 5.00,40 - 50 min.,4.6
Bratislava,La Siesta,from 5.00,40 - 50 min.,4.5
Bratislava,One food vietnamské bistro,from 5.00,40 - 50 min.,4.3
Bratislava,Food Shoot Hot dog,from 5.00,40 - 50 min.,4.4
Bratislava,Dulger,from 5.00,40 - 50 min.,4.7
Bratislava,Dúbravská Piváreň,from 5.00,100 - 110 min.,4
Bratislava,Pruk Grill bar,from 10.00,115 - 125 min.,4.7
Bratislava,Pizzi - Zi,from 3.90,40 - 50 min.,4.4
Bratislava,Nervosa restaurant,from 5.00,35 - 45 min.,4.2
Bratislava,Mango Asian Food,from 5.00,40 - 50 min.,4.6
Bratislava,Konar Pizza Kebab,from 5.00,40 - 50 min.,4.3
Bratislava,Laser pizza,from 5.90,55 - 65 min.,
Bratislava,Franchise No.1,from 5.00,54 - 64 min.,
Bratislava,Slovanská piváreň,from 4.50,100 - 110 min.,4.1
Bratislava,Fresh BBQ Central,from 5.00,40 - 50 min.,4.8
Bratislava,Petržalská Furmanka nočná,from 4.00,100 - 110 min.,3.6
Bratislava,Šalátik,from 5.00,40 - 50 min.,4.2
Bratislava,Ben & Jerry´s a Magnum Petržalka,from 6.00,70 - 80 min.,4.8
Bratislava,Batao,from 5.00,40 - 50 min.,4.6
Bratislava,Balkánske,from 5.00,40 - 50 min.,4.2
Bratislava,Chocolate Patrik,from 5.00,--,4.4
Bratislava,Geisha Fishmarket,from 14.50,--,
Bratislava,Babičkina záhrada,from 0.00,--,4.3
Bratislava,Happy Day Catering,from 20.00,--,5
Bratislava,Nobell - Craft Beer,from 4.90,--,4.3
Bratislava,Melóny SK,from 14.00,--,3
Bratislava,Drinks Go,from 7.50,40 - 50 min.,5
Bratislava,Pijeme,from 7.50,55 - 65 min.,5
Bratislava,Beer Store,from 5.00,40 - 50 min.,5
Bratislava,DOVOZ NÁPOJOV.sk,from 10.00,62 - 72 min.,4.6
Bratislava,Do dna,from 10.00,--,
