run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
18/02/2022 11:01,202111,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,8,0,0,12.500000,25.000000,62.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.750000,2,100.000000,0.000000
18/02/2022 11:01,202111,ABERDEEN,REPUBLIC OF MOLDOVA,CHISINAU (KISHINEV),JET2.COM LTD,C,2,0,0,0.000000,0.000000,50.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.500000,0,0.000000,0.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,44,0,0,2.272727,29.545455,27.272727,13.636364,13.636364,9.090909,0.000000,4.545455,0.000000,0.000000,0.000000,28.681818,16,57.894737,25.875000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,125,0,5,15.384615,37.692308,30.769231,0.769231,4.615385,4.615385,0.769231,0.769231,0.769231,0.000000,3.846154,15.088000,12,40.909091,18.750000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,62,0,5,4.477612,40.298507,34.328358,5.970149,4.477612,2.985075,0.000000,0.000000,0.000000,0.000000,7.462687,8.935484,0,0.000000,0.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,EXETER,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,84.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,73,0,2,6.666667,44.000000,28.000000,5.333333,8.000000,4.000000,1.333333,0.000000,0.000000,0.000000,2.666667,11.821918,43,91.304348,1.232558
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,INVERNESS,LOGANAIR LTD,S,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,7,100.000000,0.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,146,0,10,17.307692,46.794872,17.948718,3.846154,3.205128,3.846154,0.641026,0.000000,0.000000,0.000000,6.410256,8.068493,102,86.407767,7.676471
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,45,0,2,25.531915,42.553191,17.021277,2.127660,0.000000,2.127660,2.127660,0.000000,4.255319,0.000000,4.255319,32.577778,0,0.000000,0.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,258,0,9,4.119850,40.074906,32.584270,9.363296,5.617978,2.247191,0.749064,1.872659,0.000000,0.000000,3.370787,13.748062,97,78.448276,2.505155
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,36,0,0,13.888889,52.777778,27.777778,2.777778,2.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.138889,4,100.000000,0.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,119,0,3,9.016393,45.901639,21.311475,2.459016,6.557377,9.016393,1.639344,0.819672,0.819672,0.000000,2.459016,21.159664,52,98.076923,3.019231
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,39,0,3,4.761905,30.952381,38.095238,9.523810,9.523810,0.000000,0.000000,0.000000,0.000000,0.000000,7.142857,9.384615,0,0.000000,0.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,83.333333,9.818182
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,33,0,1,0.000000,41.176471,38.235294,5.882353,5.882353,2.941176,2.941176,0.000000,0.000000,0.000000,2.941176,12.060606,0,0.000000,0.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,41.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,92,0,4,3.125000,40.625000,36.458333,7.291667,4.166667,1.041667,1.041667,2.083333,0.000000,0.000000,4.166667,13.358696,52,80.769231,13.865385
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,5,0,18,4.347826,13.043478,4.347826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,78.260870,0.000000,0,0.000000,0.000000
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,141,0,5,2.054795,23.287671,39.041096,10.273973,6.849315,12.328767,0.000000,2.054795,0.684932,0.000000,3.424658,27.872340,112,82.142857,7.955357
18/02/2022 11:01,202111,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,100.000000,1.250000
